row ID,x,y,z,r,L-Tryptophan,Benzophenone-3,(-)-Epicatechin,Octocrylene
P1-A10_RA10_01_19082,-0.320846,1.250667,12.085,2,0,5822.140137,553922,0
P1-A11_RA11_01_19083,9.365496,15.341941,18.269187,2,0,0,0,0
P1-A12_RA12_01_19084,-8.773796,5.780272,14.072891,2,0,0,0,0
P1-A1_RA1_01_19073,14.144503,0.433223,10.735067,2,0,49724.5,545935,5489.640137
P1-A2_RA2_01_19074,11.685695,0.114242,1.77106,2,0,0,443199,0
P1-A3_RA3_01_19075,5.961919,0.178544,8.915689,2,0,7499.379883,188038,7863.060059
P1-A4_RA4_01_19076,0.056987,0.173805,3.75622,2,0,0,0,6974.97998
P1-A5_RA5_01_19077,-2.835246,0.022907,3.72852,2,0,0,311535,0
P1-A6_RA6_01_19078,-5.167603,0.136097,7.500982,2,0,0,479610,0
P1-A7_RA7_01_19079,-8.951333,-0.245406,-0.212409,2,0,12369,490200,9905.5
P1-A8_RA8_01_19080,0.275016,0.002576,-3.284349,2,0,0,326656,0
P1-A9_RA9_01_19081,8.345418,-0.003731,-3.827988,2,0,12167.7002,399087,7832.189941
P1-B10_RB10_01_19097,-7.358789,1.42967,12.163558,2,0,27086.30078,240920,14199.59961
P1-B11_RB11_01_19098,9.381627,10.631609,16.20198,2,0,7050.850098,885640,0
P1-B12_RB12_01_19099,-11.65174,16.527683,19.206673,2,0,0,178440,5711.819824
P1-B1_RB1_01_19088,15.34404,0.358829,8.255611,2,0,0,0,0
P1-B2_RB2_01_19089,11.818658,-0.095177,-0.207024,2,0,0,314793,0
P1-B3_RB3_01_19090,6.215611,0.133489,7.41407,2,0,23437.69922,566459,6909.290039
P1-B4_RB4_01_19091,1.920546,0.172659,3.71801,2,0,0,285087,0
P1-B5_RB5_01_19092,-3.638445,-0.034678,1.809324,2,0,0,347402,10555.59961
P1-B6_RB6_01_19093,-5.865313,0.179187,8.937108,2,0,6211.580078,687985,10088.7998
P1-B7_RB7_01_19094,-10.871642,-0.011004,-0.24639,2,0,7428.350098,331414,9047.5
P1-B8_RB8_01_19095,-7.768349,-0.012232,-4.111311,2,0,7725.310059,310508,0
P1-B9_RB9_01_19096,8.215257,-0.145298,-8.546206,2,0,8962.94043,357737,29616.59961
P1-C10_RC10_01_19112,-15.383424,1.243568,12.081885,2,0,18718.5,518168,9232.959961
P1-C11_RC11_01_19113,9.426255,5.601082,13.994251,2,0,24150.30078,955446,20884.5
P1-C12_RC12_01_19114,-11.537666,10.508137,16.57372,2,0,0,0,6547.490234
P1-C1_RC1_01_19103,15.326745,0.246938,4.526465,2,0,44428.19922,811839,7333.720215
P1-C2_RC2_01_19104,9.87517,0.179397,8.944137,2,0,0,503102,0
P1-C3_RC3_01_19105,5.224518,0.07319,5.40441,2,0,17043.40039,290885,9102.5
P1-C4_RC4_01_19106,1.402658,0.076958,5.529981,2,0,21089.09961,224725,22352.59961
P1-C5_RC5_01_19107,-4.793037,0.053556,-0.251508,2,0,0,564701,0
P1-C6_RC6_01_19108,-10.750344,0.3306,8.981951,2,0,0,250912,0
P1-C7_RC7_01_19109,-12.846783,-0.095023,-0.201914,2,0,10818.59961,460859,9564.80957
P1-C8_RC8_01_19110,-13.073971,-0.011801,-4.096943,2,0,7700.620117,523277,0
P1-C9_RC9_01_19111,13.127069,-0.001007,-3.737195,2,0,0,445605,0
P1-D10_RD10_01_19127,-15.736253,10.319515,16.065013,2,0,25927.5,807550,7962.850098
P1-D11_RD11_01_19128,-0.460858,15.731756,18.440264,2,0,10193.5,205262,5921.430176
P1-D12_RD12_01_19129,-11.513987,4.396439,13.90046,2,0,0,499808,0
P1-D1_RD1_01_19118,15.262491,0.136493,0.84549,2,0,40365.30078,400118,7686.47998
P1-D2_RD2_01_19119,9.943553,0.132612,7.384842,2,0,0,2246730,0
P1-D3_RD3_01_19120,4.763163,0.019648,3.619932,2,0,46286.10156,420950,12781.59961
P1-D4_RD4_01_19121,2.343496,0.133038,7.399045,2,0,26624.09961,360072,16454.30078
P1-D5_RD5_01_19122,-6.894689,0.056266,-0.161207,2,0,0,186302,0
P1-D6_RD6_01_19123,-8.985325,0.132925,7.395285,2,0,5034.25,191055,0
P1-D7_RD7_01_19124,-10.856148,-0.115639,-1.471502,2,0,26913.5,463931,24776.30078
P1-D8_RD8_01_19125,-7.843312,-0.141085,-8.405781,2,0,4751.339844,889252,0
P1-D9_RD9_01_19126,13.044692,-0.142603,-8.456392,2,0,0,645198,0
P1-E10_RE10_01_19142,-15.702583,16.831837,18.923052,2,0,34464.5,309772,19114.5
P1-E11_RE11_01_19143,-0.286194,11.019357,16.37215,2,0,10346.90039,501749,16140.2002
P1-E12_RE12_01_19144,0.180384,16.918137,19.377458,2,0,0,1374860,0
P1-E1_RE1_01_19133,12.812715,0.326019,8.829282,2,0,6497.569824,948943,0
P1-E2_RE2_01_19134,9.04885,0.073758,5.423324,2,0,0,333943,0
P1-E3_RE3_01_19135,3.862921,-0.036461,1.749889,2,0,7076.779785,608224,18243.59961
P1-E4_RE4_01_19136,2.083979,0.179941,8.962259,2,0,0,652182,4509.069824
P1-E5_RE5_01_19137,-6.476999,0.116917,1.86021,2,0,0,160097,0
P1-E6_RE6_01_19138,-12.271833,0.281982,7.361584,2,0,8039.529785,411287,5644.899902
P1-E7_RE7_01_19139,-8.468214,-0.122192,-1.396596,2,0,18574.30078,344172,22025.59961
P1-E8_RE8_01_19140,-13.385381,-0.136259,-8.244938,2,0,0,92542.5,7844.22998
P1-E9_RE9_01_19141,15.501757,16.948261,18.974147,2,0,0,482283,0
P1-F10_RF10_01_19157,-8.508629,19.558282,20.119597,2,0,44575.39844,524096,26263.5
P1-F11_RF11_01_19158,-0.021082,5.84058,14.099359,2,0,0,599826,6504.799805
P1-F12_RF12_01_19159,0.012949,10.831993,16.715375,2,0,0,921501,0
P1-F1_RF1_01_19148,12.882746,0.282065,7.364371,2,59558.69922,36743.39844,267480,4616.450195
P1-F2_RF2_01_19149,8.586671,0.018713,3.588745,2,0,0,585922,0
P1-F3_RF3_01_19150,3.286503,0.055668,-0.181124,2,104511,0,395611,0
P1-F4_RF4_01_19151,-1.91346,0.178133,8.902002,2,88941,0,488062,0
P1-F5_RF5_01_19152,-5.728118,0.171698,3.686001,2,39381.5,0,410062,0
P1-F6_RF6_01_19153,-12.382072,0.045777,4.490772,2,0,0,421283,0
P1-F7_RF7_01_19154,-5.839171,-0.121309,-1.406698,2,0,0,781724,7269.049805
P1-F8_RF8_01_19155,-15.421965,0.142622,1.049757,2,0,14253.5,672220,5727.009766
P1-F9_RF9_01_19156,15.434045,10.203784,16.014222,2,0,31665.30078,162311,13566.59961
P1-G10_RG10_01_19172,-0.485745,19.569959,20.12472,2,0,6449.040039,386515,0
P1-G11_RG11_01_19173,-8.608232,15.954302,18.537932,2,0,13950.2002,401448,15643.5
P1-G12_RG12_01_19174,-0.144725,4.502821,13.946991,2,0,0,570481,0
P1-G1_RG1_01_19163,12.418919,0.224275,5.438317,2,0,45016.89844,328548,6159.379883
P1-G2_RG2_01_19164,7.667379,-0.037397,1.718701,2,0,0,383574,0
P1-G3_RG3_01_19165,-0.87149,0.056809,-0.143079,2,0,0,273261,0
P1-G4_RG4_01_19166,-1.383621,0.135331,7.475465,2,0,8911.94043,650309,28733.59961
P1-G5_RG5_01_19167,-5.218156,0.226627,5.516691,2,0,9464.110352,545783,7935.649902
P1-G6_RG6_01_19168,-10.325731,0.047345,4.543027,2,0,0,273669,0
P1-G7_RG7_01_19169,2.982208,-0.109574,-7.022149,2,0,0,57011.69922,4763.069824
P1-G8_RG8_01_19170,-15.3849,0.288496,5.911511,2,0,10289.90039,110313,6315.399902
P1-G9_RG9_01_19171,15.087291,0.933436,11.945778,2,0,11717.90039,348234,8393.099609
P1-H10_RH10_01_19187,8.489789,19.714585,20.188193,2,0,4579.950195,122055,7697.819824
P1-H11_RH11_01_19188,-8.687803,11.187069,16.445753,2,0,20340.5,92140.79688,16154.90039
P1-H12_RH12_01_19189,10.825382,16.914891,19.376038,2,0,0,290193,0
P1-H1_RH1_01_19178,12.243441,0.169141,3.60077,2,0,0,268950,0
P1-H2_RH2_01_19179,8.109775,-0.094431,-0.182182,2,0,0,314050,0
P1-H3_RH3_01_19180,0.047424,-0.034109,1.828268,2,0,0,186334,0
P1-H4_RH4_01_19181,-2.363966,0.076448,5.512997,2,0,0,224939,5532.200195
P1-H5_RH5_01_19182,-7.034754,0.226328,5.506729,2,0,17011.90039,164596,23270.09961
P1-H6_RH6_01_19183,-11.59231,0.115814,1.823467,2,0,0,605506,0
P1-H7_RH7_01_19184,-2.130632,-0.106429,-6.917316,2,0,17071.80078,138250,22648.69922
P1-H8_RH8_01_19185,-14.996102,0.424259,10.43631,2,0,41354.10156,391628,38908.5
P1-H9_RH9_01_19186,7.796281,1.173889,12.051305,2,0,98655.5,718350,57233.19922
P2-A1(reinj)_RA1_01_19200,10.911139,10.835179,16.716769,2,0,24314,81680,0
P2-A2(reinj)_RA2_01_19229,15.676039,-0.015687,7.95862,2,34359.39844,0,395580,0
P2-A3(reinj)15ul_RA3_01_19224,-15.78,0.016112,9.077502,2,0,0,834898,0
P2-B1(reinj)_RB1_01_19202,10.88494,4.38771,13.896642,2,0,0,0,0
P2-B2_RB2_01_19199,16.25,-0.066202,6.627948,2,0,0,170047,0
P2-B3(reinj)_RB3_01_19230,-16.25,-0.007206,7.016079,2,0,0,502887,0
P2-C1_RC1_01_19204,-8.922229,-0.85,5.342693,2,0,5430.439941,695233,0
P2-C2_RC2_01_19205,16.25,-0.098646,4.952158,2,0,0,283642,0
P2-C3(reinj)_RC3_01_19231,-16.25,-0.028307,5.053152,2,0,0,44973.69922,0
P2-D1(reinj)_RD1_01_19233,-8.869005,-0.85,-4.726442,2,0,6825.5,1425420,0
P2-D2(reinj)_RD2_01_19234,16.25,-0.151114,2.819551,2,0,0,159314,0
P2-D3(reinj)_RD3_01_19236,16.25,-0.125527,0.389154,2,0,0,155133,0
P2-E1_RE1_01_19213,-16.25,-0.029508,2.568369,2,0,10209.2998,534963,0
P2-E2_RE2_01_19214,8.369108,-0.85,5.598873,2,0,0,562729,0
P2-E3_RE3_01_19215,-16.25,-0.079333,0.206603,2,0,0,1180770,0
P2-F1_RF1_01_19216,8.352671,-0.85,-4.743203,2,0,33945.30078,329678,0
P2-F2_RF2_01_19217,16.25,-0.166988,-3.198304,2,0,6072.569824,830533,0
P2-F3_RF3_01_19218,-16.25,-0.117655,-2.972179,2,0,0,909707,0
P2-G1_RG1_01_19219,16.230685,0.040537,10.543858,2,0,0,0,0
P2-G2_RG2_01_19220,16.25,-0.248865,-7.164081,2,0,7555.149902,261925,0
P2-G3_RG3_01_19221,-16.25,-0.207837,-6.549306,2,0,0,539475,0
P2-H1_RH1_01_19222,15.98,0.004893,9.329743,2,0,6649.720215,398197,0
P2-H2_RH2_01_19223,-16.242541,0.073237,10.454218,2,0,0,205717,0
